City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,colonia,50.9333,6.95,15.53,73,0,4.63,DE,1685484181
1,opuwo,-18.0607,13.84,14.29,24,9,1.84,NA,1685484408
2,port elizabeth,-33.918,25.5701,15.17,89,100,1.79,ZA,1685484191
3,grytviken,-54.2811,-36.5092,-4.41,76,8,2.21,GS,1685484152
4,naze,28.3667,129.4833,23.51,92,94,2.6,JP,1685484377
5,puerto ayora,-0.7393,-90.3518,29.98,92,90,1.79,EC,1685484159
6,talnakh,69.4865,88.3972,5.67,72,94,5.22,RU,1685484181
7,fort st. john,56.2499,-120.8529,15.94,41,40,3.6,CA,1685484110
8,utrik,11.2278,169.8474,27.5,80,100,7.87,MH,1685484207
9,wailua homesteads,22.0669,-159.378,26.24,79,21,4.47,US,1685484169
10,longyearbyen,78.2186,15.6401,0.91,86,75,7.2,SJ,1685484151
11,muroto-misakicho,33.2833,134.15,19.07,82,100,7.51,JP,1685484410
12,magdagachi,53.45,125.8,9.02,90,91,1.63,RU,1685484411
13,tambacounda,13.7539,-13.7586,37.33,28,89,2.61,SN,1685484411
14,port-aux-francais,-49.35,70.2167,4.75,87,98,15.16,TF,1685484166
15,buala,-8.145,159.5921,27.6,81,100,6.35,SB,1685484257
16,adamstown,-25.066,-130.1015,21.66,66,100,6.01,PN,1685484161
17,sawakin,19.1059,37.3321,29.7,80,85,5.31,SD,1685484412
18,isafjordur,66.0755,-23.124,7.63,80,63,5.2,IS,1685484180
19,lebu,-37.6167,-73.65,11.54,93,100,7.16,CL,1685484182
20,kodiak,57.79,-152.4072,6.57,80,100,3.42,US,1685484184
21,ushuaia,-54.8,-68.3,10.81,71,20,5.66,AR,1685484126
22,punta arenas,-53.15,-70.9167,6.06,93,20,1.03,CL,1685484076
23,horta,38.5333,-28.6333,17.79,83,13,5.81,PT,1685484413
24,pemangkat,1.1667,108.9667,26.31,87,100,3.33,ID,1685484413
25,chonchi,-42.6128,-73.8092,11.56,96,100,2.97,CL,1685484204
26,maun,-19.9833,23.4167,19.51,37,24,1.95,BW,1685484414
27,beolgyo,34.8449,127.3429,18.51,77,99,2.83,KR,1685484414
28,ust'-kulom,61.6864,53.6902,11.92,74,100,1.59,RU,1685484415
29,sitka,57.0531,-135.33,5.69,94,100,1.91,US,1685484156
30,chui,-33.6971,-53.4616,13.93,85,100,2.55,UY,1685484415
31,puerto natales,-51.7236,-72.4875,6.27,97,90,1.76,CL,1685484164
32,bengkulu,-3.8004,102.2655,24.51,90,100,1.47,ID,1685484416
33,bilibino,68.0546,166.4372,9.03,60,100,2.17,RU,1685484163
34,broome,42.2506,-75.833,28.12,36,0,3.09,US,1685484246
35,salekhard,66.53,66.6019,8.31,81,21,1.55,RU,1685484416
36,kuta,-8.7233,115.1723,25.0,94,75,4.63,ID,1685484417
37,yellowknife,62.456,-114.3525,14.29,44,20,6.17,CA,1685484093
38,edinburgh of the seven seas,-37.0676,-12.3116,13.84,74,96,12.6,SH,1685484163
39,narasannapeta,18.4167,84.05,27.34,74,84,2.98,IN,1685484417
40,port saint john's,-31.6229,29.5448,20.43,80,100,1.94,ZA,1685484185
41,west island,-12.1568,96.8225,26.99,83,75,6.69,CC,1685484161
42,garissa,-0.4536,39.6401,24.63,72,13,5.4,KE,1685484418
43,emerald,-23.5333,148.1667,12.17,50,0,2.06,AU,1685484268
44,kapuskasing,49.4169,-82.4331,32.05,19,20,5.66,CA,1685484062
45,al abyar,32.19,20.5965,23.81,41,90,14.6,LY,1685484419
46,vorkuta,67.5,64.0,6.26,95,3,1.83,RU,1685484420
47,papatowai,-46.5619,169.4708,9.65,68,98,5.12,NZ,1685484167
48,margaret river,-33.95,115.0667,15.02,91,66,2.49,AU,1685484186
49,gadzhiyevo,69.2551,33.3362,7.67,63,100,5.36,RU,1685484233
50,constantia,44.1833,28.65,14.38,72,84,4.35,RO,1685484240
51,bethel,41.3712,-73.414,23.21,45,5,0.45,US,1685484162
52,ayame,5.6083,-3.1563,24.19,96,69,1.39,CI,1685484421
53,port mathurin,-19.6833,63.4167,24.49,69,7,6.23,MU,1685484175
54,gaozhou,21.9392,110.8461,25.79,87,59,0.82,CN,1685484422
55,nuku'alofa,-21.1333,-175.2,26.19,83,40,6.17,TO,1685484207
56,iqaluit,63.7506,-68.5145,2.85,86,100,0.0,CA,1685484018
57,puerto santa,-8.9906,-78.6456,22.99,77,15,4.53,PE,1685484422
58,priargunsk,50.3691,119.1012,12.42,31,87,3.82,RU,1685484423
59,hermanus,-34.4187,19.2345,14.89,92,97,6.7,ZA,1685484168
60,qaqortoq,60.7167,-46.0333,4.42,89,100,1.79,GL,1685484236
61,nova xavantina,-14.6667,-52.35,26.51,46,96,0.58,BR,1685484214
62,waitangi,-43.9535,-176.5597,14.34,97,100,1.34,NZ,1685484164
63,banda aceh,5.5577,95.3222,27.16,75,100,6.69,ID,1685484188
64,las tablas,7.7667,-80.2833,26.76,99,99,2.91,PA,1685484424
65,jamestown,42.097,-79.2353,27.8,39,75,4.12,US,1685484177
66,sinjar,36.3209,41.8754,23.66,49,37,3.17,IQ,1685484172
67,uturoa,-16.7333,-151.4333,25.97,80,6,5.4,PF,1685484158
68,anadyr,64.75,177.4833,10.28,50,0,4.0,RU,1685484248
69,enewetak,11.3474,162.3373,26.66,79,100,2.67,MH,1685484214
70,la paz,-16.5,-68.15,13.99,12,0,2.57,BO,1685484426
71,kyshtovka,56.555,76.6271,11.7,60,99,2.19,RU,1685484426
72,chibougamau,49.9168,-74.3659,29.79,15,0,3.09,CA,1685484243
73,dire,12.2833,-10.9667,35.61,25,75,1.31,ML,1685484427
74,ola,59.5833,151.2833,12.86,55,100,8.13,RU,1685484427
75,lospalos,-8.5186,127.0025,21.56,86,82,4.04,TL,1685484250
76,fort bragg,35.139,-79.006,25.08,71,75,5.14,US,1685483917
77,udachny,66.4167,112.4,1.36,69,91,6.92,RU,1685484196
78,stornoway,58.2093,-6.3865,10.05,81,75,2.06,GB,1685484428
79,santa eularia des riu,38.9846,1.5341,19.38,87,0,0.51,ES,1685484428
80,makurazaki,31.2667,130.3167,22.71,96,71,0.18,JP,1685484429
81,champerico,14.3,-91.9167,26.3,64,11,5.2,GT,1685484429
82,nongstoin,25.5167,91.2667,18.4,84,21,1.31,IN,1685484429
83,east london,-33.0153,27.9116,17.19,83,100,2.55,ZA,1685484307
84,pont rouge,48.8833,-72.0825,24.76,38,80,2.18,CA,1685484430
85,newman,37.3138,-121.0208,28.19,49,89,0.89,US,1685484430
86,invercargill,-46.4,168.35,10.42,77,100,5.04,NZ,1685484221
87,bredasdorp,-34.5322,20.0403,14.38,90,89,4.29,ZA,1685484211
88,vernon,50.2581,-119.2691,28.75,18,11,1.54,CA,1685484003
89,labrador city,52.9463,-66.9114,25.95,24,40,9.26,CA,1685484337
90,porto novo,6.4965,2.6036,27.9,81,66,3.71,BJ,1685484190
91,saipan,15.1355,145.701,27.58,100,100,6.26,MP,1685484094
92,olonkinbyen,70.9221,-8.7187,-0.62,81,45,7.8,SJ,1685484172
93,tibati,6.4667,12.6333,20.49,94,65,0.35,CM,1685484256
94,whiteville,34.3388,-78.7031,28.07,50,40,2.57,US,1685484432
95,manaure,11.7751,-72.4445,30.49,66,98,3.25,CO,1685484433
96,salaqi,40.5414,110.5108,19.77,34,100,7.48,CN,1685484433
97,shalkar,47.8288,59.6258,24.95,26,89,4.59,KZ,1685484438
98,arraial do cabo,-22.9661,-42.0278,19.92,94,75,1.03,BR,1685484154
99,mannargudi,10.6667,79.4333,28.15,77,97,2.65,IN,1685484440
100,nago,26.5881,127.9761,26.92,90,100,6.67,JP,1685484441
101,stanley,54.868,-1.6985,10.85,84,75,2.06,GB,1685483996
102,colac,-38.3333,143.5833,12.32,80,100,5.49,AU,1685484441
103,vorgashor,67.5833,63.95,6.15,94,3,1.81,RU,1685484190
104,fale old settlement,-9.3852,-171.2468,28.48,74,42,4.51,TK,1685484268
105,nanpara,27.8667,81.5,30.71,38,0,2.82,IN,1685484442
106,riosucio,5.4216,-75.7032,19.25,93,100,0.86,CO,1685484442
107,college,64.8569,-147.8028,8.66,94,100,5.14,US,1685484177
108,hirara,24.8,125.2833,25.71,86,100,17.1,JP,1685484443
109,ust-nera,64.5667,143.2,14.33,57,100,1.55,RU,1685484204
110,torghay,49.6339,63.4981,22.92,31,59,2.24,KZ,1685484443
111,suva,-18.1416,178.4415,26.71,89,75,1.54,FJ,1685484444
112,weno,7.4515,151.8468,28.83,76,100,5.97,FM,1685484210
113,aripuana,-9.1667,-60.6333,26.9,67,100,0.65,BR,1685484449
114,dudinka,69.4058,86.1778,5.9,72,81,7.02,RU,1685484243
115,ilulissat,69.2167,-51.1,1.01,93,100,0.0,GL,1685484194
116,remire-montjoly,4.9167,-52.2667,27.02,74,0,3.09,GF,1685484308
117,polyarnyy,69.1989,33.4478,7.7,63,100,5.7,RU,1685484295
118,chuguyevka,44.1653,133.8633,12.62,59,5,0.43,RU,1685484450
119,vadso,70.0744,29.7487,6.49,93,40,3.09,NO,1685484278
120,ngerengere,-6.75,38.1167,20.19,87,80,1.5,TZ,1685484451
121,sumbe,-11.2061,13.8437,21.55,88,39,2.74,AO,1685484451
122,albany,42.6001,-73.9662,26.46,37,11,0.45,US,1685484050
123,arroyito,-31.4202,-63.05,14.5,61,100,3.51,AR,1685484452
124,nar'yan-mar,67.6713,53.087,9.41,79,100,2.26,RU,1685484306
125,mareeba,-17.0,145.4333,19.4,86,0,1.03,AU,1685484452
126,regeneracao,-6.2378,-42.6883,28.48,52,94,2.03,BR,1685484453
127,wanganui,-39.9333,175.05,13.11,78,39,1.79,NZ,1685484444
128,caleta de carquin,-11.0925,-77.6267,22.32,75,5,5.62,PE,1685484453
129,las palmas,28.4204,-14.0131,19.44,78,20,4.12,ES,1685484454
130,carnarvon,-24.8667,113.6333,19.83,77,0,2.74,AU,1685484168
131,jieshi,22.8134,115.8257,27.44,78,2,2.01,CN,1685484454
132,tarawa,1.419,172.984,30.05,74,20,2.06,KI,1685484397
133,afaahiti,-17.75,-149.2833,26.93,83,49,5.3,PF,1685484219
134,fizuli,39.5771,47.4084,25.53,51,17,2.74,AZ,1685484455
135,tiksi,71.6872,128.8694,-1.04,79,9,2.0,RU,1685484174
136,berezovyy,51.6667,135.7,10.24,57,51,1.86,RU,1685484225
137,flying fish cove,-10.4217,105.6791,25.82,88,75,4.12,CX,1685484252
138,vila franca do campo,37.7167,-25.4333,17.23,88,100,3.82,PT,1685484095
139,trincomalee,8.5711,81.2335,26.63,83,85,5.18,LK,1685484456
140,sola,-13.8833,167.55,26.87,72,79,9.54,VU,1685484456
141,gorontalo,0.5412,123.0595,24.02,92,36,1.04,ID,1685484457
142,slonim,53.0867,25.3219,9.11,78,5,2.73,BY,1685484457
143,happy valley-goose bay,53.3168,-60.3315,8.93,90,100,1.4,CA,1685484424
144,atafu village,-8.5421,-172.5159,28.58,71,57,4.23,TK,1685484165
145,halifax,44.6453,-63.5724,19.94,50,40,11.32,CA,1685484240
146,mount isa,-20.7333,139.5,5.87,65,89,1.03,AU,1685484075
147,katsuura,35.1333,140.3,16.49,92,100,9.24,JP,1685484459
148,nova sintra,14.8667,-24.7167,20.76,81,100,7.19,CV,1685484221
149,khorinsk,52.1657,109.7726,13.11,40,100,5.58,RU,1685484460
150,preveza,38.95,20.75,18.95,88,40,4.12,GR,1685484460
151,kayangel,8.0823,134.7173,28.66,74,86,2.31,PW,1685484270
152,bejaia,36.7559,5.0843,17.58,82,90,1.39,DZ,1685484461
153,hasaki,35.7333,140.8333,18.22,75,100,7.85,JP,1685484336
154,blackmans bay,-43.0167,147.3167,15.07,76,100,3.68,AU,1685484151
155,gidam,18.9833,81.4,25.71,68,98,0.88,IN,1685484461
156,barcelos,41.5388,-8.6151,19.36,97,93,1.03,PT,1685484462
157,boa vista,2.8197,-60.6733,29.99,62,40,2.06,BR,1685484223
158,lihue,21.9789,-159.3672,26.58,72,20,5.72,US,1685484121
159,manismata,-2.4667,111.0333,23.08,97,76,1.29,ID,1685484462
160,kapa'a,22.0752,-159.319,26.99,80,18,4.47,US,1685484162
161,san patricio,28.017,-97.5169,31.92,58,83,5.67,US,1685484266
162,arno,60.1167,18.6333,9.88,57,47,6.22,SE,1685484463
163,sungai penuh,-2.0833,101.3833,18.64,97,98,0.31,ID,1685484463
164,badger,64.8,-147.5333,8.62,92,100,4.63,US,1685484272
165,port alfred,-33.5906,26.891,13.43,93,100,0.89,ZA,1685484170
166,smithers,54.7804,-127.1743,14.02,30,93,3.82,CA,1685484469
167,sao paulo de olivenca,-3.3783,-68.8725,24.96,94,91,1.11,BR,1685484470
168,saint-philippe,-21.3585,55.7679,20.77,79,38,2.11,RE,1685484114
169,bataipora,-22.2953,-53.2711,16.78,99,100,1.8,BR,1685484470
170,plastun,44.7561,136.2939,12.75,58,17,2.88,RU,1685484375
171,ulsteinvik,62.3432,5.8487,12.21,88,76,6.26,NO,1685484470
172,aykhal,66.0,111.5,0.12,74,55,7.0,RU,1685484208
173,ponnani,10.767,75.9252,25.62,83,72,1.42,IN,1685484471
174,angaur state,6.906,134.13,28.57,75,89,2.06,PW,1685484471
175,tsiombe,-25.3,45.4833,19.96,80,2,4.1,MG,1685484255
176,rongelap,11.1635,166.8941,26.12,85,100,6.05,MH,1685484228
177,cockburn town,21.4612,-71.1419,27.52,81,99,5.88,TC,1685484369
178,vilyuchinsk,52.9306,158.4028,8.15,94,100,10.53,RU,1685484174
179,lisala,2.15,21.5167,21.73,96,81,0.53,CD,1685484472
180,sinabang,2.4803,96.3801,26.07,84,79,1.57,ID,1685484179
181,boyolangu,-8.1181,111.8935,24.28,89,100,2.13,ID,1685484473
182,nguigmi,14.2495,13.1092,29.4,49,17,3.82,NE,1685484473
183,ceerigaabo,10.6162,47.368,20.85,65,76,0.7,SO,1685484473
184,tra vinh,9.9347,106.3453,25.27,92,85,2.13,VN,1685484473
185,thompson,55.7435,-97.8558,20.09,60,75,5.66,CA,1685484159
186,walvis bay,-22.9575,14.5053,12.53,76,0,0.51,NA,1685484162
187,krasnyy chikoy,50.3643,108.7512,12.08,74,100,1.21,RU,1685484474
188,mundri,-6.9558,111.71,22.53,89,88,1.8,ID,1685484474
189,iskateley,67.6803,53.1512,9.39,79,100,2.27,RU,1685484174
190,roccella ionica,38.322,16.4009,18.63,81,43,1.41,IT,1685484475
191,south hedland,-20.4089,118.5983,12.96,50,0,3.09,AU,1685484165
192,aasiaat,68.7098,-52.8699,1.29,88,100,8.81,GL,1685484247
193,micheweni,-4.9667,39.8333,25.24,83,28,4.95,TZ,1685484345
194,iranshahr,27.2025,60.6848,31.1,31,72,3.98,IR,1685484476
195,amga,60.8953,131.9608,14.1,52,73,0.87,RU,1685484476
196,macusani,-14.0833,-70.4333,5.45,33,0,3.23,PE,1685484476
197,qujing,25.4833,103.7833,16.51,93,68,1.64,CN,1685484455
198,coquimbo,-29.9533,-71.3436,14.85,88,75,1.54,CL,1685484430
199,balikpapan,-1.2675,116.8289,26.55,94,40,2.57,ID,1685484477
200,kijang,35.2442,129.2139,17.27,79,97,4.37,KR,1685484478
201,puerto colombia,10.9878,-74.9547,28.05,82,100,3.98,CO,1685484478
202,xanxere,-26.8769,-52.4042,17.06,94,100,1.41,BR,1685484225
203,sao felix do xingu,-6.6447,-51.995,25.61,75,81,1.43,BR,1685484478
204,tahoua,14.8888,5.2692,30.13,43,92,6.28,NE,1685484479
205,posto fiscal rolim de moura,-13.0833,-62.2667,25.78,72,90,1.37,BR,1685484435
206,issenye,-2.0,34.3333,18.85,76,81,1.85,TZ,1685484479
207,eyl,7.9803,49.8164,28.24,81,21,8.0,SO,1685484192
208,keflavik,64.0049,-22.5624,7.24,81,100,6.17,IS,1685484160
209,torres,-29.3353,-49.7269,17.13,83,100,4.0,BR,1685484280
210,tokmok,42.8417,75.3016,14.78,34,22,2.35,KG,1685484480
211,anchorage,61.2181,-149.9003,11.07,68,100,5.66,US,1685484312
212,cuencame de ceniceros,24.8711,-103.6964,30.04,15,0,3.13,MX,1685484481
213,timmins,48.4669,-81.3331,29.72,23,8,3.6,CA,1685484481
214,kyelang,32.5833,77.0333,-2.0,87,93,1.97,IN,1685484481
215,barra de santo antonio,-9.4047,-35.5072,25.6,83,14,4.07,BR,1685484180
216,waingapu,-9.6567,120.2641,23.73,88,100,4.3,ID,1685484482
217,port lincoln,-34.7333,135.8667,16.29,72,100,6.28,AU,1685484271
218,sumberpucung,-8.1586,112.4829,20.68,95,62,1.1,ID,1685484482
219,hithadhoo,-0.6,73.0833,28.54,75,99,6.04,MV,1685484038
220,sandnessjoen,66.0217,12.6316,8.29,94,75,5.14,NO,1685484338
221,puerto aysen,-45.4,-72.7,12.02,94,100,3.6,CL,1685484246
222,whitehorse,60.7161,-135.0538,11.12,42,75,5.66,CA,1685484251
223,kailua-kona,19.6406,-155.9956,28.49,80,91,2.24,US,1685484198
224,khanpur,28.6453,70.6567,27.56,46,53,1.49,PK,1685484364
225,haiku-pauwela,20.9219,-156.3051,25.58,75,93,6.76,US,1685484171
226,klyuchi,52.2667,79.1667,13.2,48,2,2.24,RU,1685484167
227,ribeira grande,38.5167,-28.7,18.21,83,6,4.47,PT,1685484159
228,wotho,10.1657,166.0102,27.03,78,97,3.64,MH,1685484485
229,la passe,45.5549,-0.8967,21.13,74,99,6.64,FR,1685484197
230,segre,47.6833,-0.8667,18.08,72,67,6.11,FR,1685484485
231,ontario,34.0633,-117.6509,24.25,68,75,7.2,US,1685484402
232,mitsamiouli,-11.3847,43.2844,26.69,75,22,1.6,KM,1685484160
233,hengchun,22.0042,120.7439,27.79,80,34,1.63,TW,1685484486
234,papao,-17.75,-149.55,27.59,86,64,5.14,PF,1685484277
235,souillac,-20.5167,57.5167,24.21,73,40,3.6,MU,1685484275
236,inirida,3.8653,-67.9239,23.52,98,100,0.72,CO,1685484487
237,ebaye,8.7748,167.7392,25.01,88,0,2.57,MH,1685484487
238,pukhrayan,26.2333,79.85,32.15,34,0,3.01,IN,1685484488
239,cidreira,-30.1811,-50.2056,19.54,78,100,7.33,BR,1685484340
240,hatillo,18.4863,-66.8254,29.5,71,99,1.34,PR,1685484488
241,ulubey,40.8721,37.7588,14.07,91,64,2.58,TR,1685484489
242,ciudad lazaro cardenas,17.9583,-102.2,31.26,58,0,6.08,MX,1685484386
243,new norfolk,-42.7826,147.0587,15.72,74,100,3.73,AU,1685484243
244,guayaramerin,-10.8368,-65.3614,26.09,72,84,1.35,BO,1685484489
245,mancio lima,-7.6142,-72.8958,24.96,96,43,1.38,BR,1685484490
246,masina,-4.3836,15.3914,24.79,78,60,0.52,CD,1685484490
247,petropavlovsk-kamchatsky,53.0452,158.6483,7.33,81,100,7.0,RU,1685484232
248,pisco,-13.7,-76.2167,22.03,68,20,5.66,PE,1685484267
249,alice springs,-23.7,133.8833,2.75,87,1,1.64,AU,1685484113
250,vallenar,-28.5708,-70.7581,20.67,37,100,1.31,CL,1685484491
251,bonthe,7.5264,-12.505,27.02,84,98,2.78,SL,1685484491
252,salmon arm,50.6998,-119.3024,28.57,31,24,2.06,CA,1685484393
253,greymouth,-42.4667,171.2,9.72,87,98,1.94,NZ,1685484456
254,al hudaydah,14.7978,42.9545,31.67,48,94,3.24,YE,1685484492
255,avarua,-21.2078,-159.775,25.03,50,75,6.17,CK,1685484196
256,kristiansund,63.1115,7.732,10.03,93,100,12.35,NO,1685484490
257,georgetown,5.4112,100.3354,27.97,80,20,1.54,MY,1685484190
258,barreirinhas,-2.7469,-42.8264,25.62,86,66,2.89,BR,1685484493
259,mokhsogollokh,61.4681,128.9203,13.44,52,3,2.35,RU,1685484493
260,port macquarie,-31.4333,152.9167,9.38,59,3,1.98,AU,1685484236
261,santa terezinha,-29.9002,-50.0904,19.06,80,100,6.63,BR,1685484493
262,hamilton,39.1834,-84.5333,29.35,50,40,5.66,US,1685484229
263,darzab,35.9774,65.3783,17.28,19,0,1.69,AF,1685484494
264,as sulayyil,20.4607,45.5779,29.32,39,43,7.24,SA,1685484494
265,argo,37.6333,22.7333,19.32,80,10,0.61,GR,1685484371
266,tari,12.4086,4.4914,29.4,51,100,4.49,NG,1685484494
267,astrakhan,46.3497,48.0408,20.93,94,0,3.13,RU,1685484495
268,cooper's town,26.8667,-77.5167,25.98,79,100,6.03,BS,1685484495
269,at taj,24.2049,23.2857,29.78,14,52,5.35,LY,1685484213
270,ta`u,-14.2336,-169.5144,27.63,80,90,9.47,AS,1685484295
271,asau,46.4333,26.4,15.51,71,58,1.61,RO,1685484496
272,kalkaman,51.9525,76.0211,15.47,56,65,2.19,KZ,1685484496
273,havre,49.5833,0.3333,12.33,82,100,8.75,FR,1685484496
274,palikir - national government center,6.9248,158.1611,29.41,79,100,2.06,FM,1685484497
275,lepsy,46.235,78.9456,15.49,40,5,4.81,KZ,1685484497
276,takoradi,4.8845,-1.7554,27.07,81,45,3.13,GH,1685484163
277,el obeid,13.1842,30.2167,28.89,39,88,2.78,SD,1685484497
278,nantucket,41.2835,-70.0995,14.08,80,0,4.63,US,1685484498
